date,ranking,name,country,url,points,tournaments
08.09.2014,1,"Djokovic, Novak",SRB,/Tennis/Players/Top-Players/Novak-Djokovic.aspx,"12,290",18
08.09.2014,2,"Nadal, Rafael",ESP,/Tennis/Players/Top-Players/Rafael-Nadal.aspx,"8,670",20
08.09.2014,3,"Federer, Roger",SUI,/Tennis/Players/Top-Players/Roger-Federer.aspx,"8,030",19
08.09.2014,4,"Wawrinka, Stan",SUI,/Tennis/Players/Top-Players/Stan-Wawrinka.aspx,"5,625",20
08.09.2014,5,"Ferrer, David",ESP,/Tennis/Players/Top-Players/David-Ferrer.aspx,"4,495",26
08.09.2014,6,"Berdych, Tomas",CZE,/Tennis/Players/Top-Players/Tomas-Berdych.aspx,"4,240",24
08.09.2014,7,"Raonic, Milos",CAN,/Tennis/Players/Top-Players/Milos-Raonic.aspx,"4,225",20
08.09.2014,8,"Nishikori, Kei",JPN,/Tennis/Players/Top-Players/Kei-Nishikori.aspx,"3,870",21
08.09.2014,9,"Cilic, Marin",CRO,/Tennis/Players/Top-Players/Marin-Cilic.aspx,"3,845",23
08.09.2014,10,"Dimitrov, Grigor",BUL,/Tennis/Players/Top-Players/Grigor-Dimitrov.aspx,"3,710",21
08.09.2014,11,"Murray, Andy",GBR,/Tennis/Players/Top-Players/Andy-Murray.aspx,"3,150",19
08.09.2014,12,"Tsonga, Jo-Wilfried",FRA,/Tennis/Players/Top-Players/Jo-Wilfried-Tsonga.aspx,"3,100",21
08.09.2014,13,"Gulbis, Ernests",LAT,/Tennis/Players/Top-Players/Ernests-Gulbis.aspx,"2,615",23
08.09.2014,14,"Del Potro, Juan Martin",ARG,/Tennis/Players/Top-Players/Juan-Martin-Del-Potro.aspx,"2,365",18
08.09.2014,15,"Bautista Agut, Roberto",ESP,/Tennis/Players/Top-Players/Roberto-Bautista-Agut.aspx,"1,935",24
08.09.2014,16,"Isner, John",USA,/Tennis/Players/Top-Players/John-Isner.aspx,"1,925",23
08.09.2014,17,"Fognini, Fabio",ITA,/Tennis/Players/Top-Players/Fabio-Fognini.aspx,"1,870",27
08.09.2014,18,"Monfils, Gael",FRA,/Tennis/Players/Top-Players/Gael-Monfils.aspx,"1,845",22
08.09.2014,19,"Anderson, Kevin",RSA,/Tennis/Players/Top-Players/Kevin-Anderson.aspx,"1,840",24
08.09.2014,20,"Lopez, Feliciano",ESP,/Tennis/Players/Top-Players/Feliciano-Lopez.aspx,"1,770",27
08.09.2014,21,"Gasquet, Richard",FRA,/Tennis/Players/Top-Players/Richard-Gasquet.aspx,"1,730",26
08.09.2014,22,"Robredo, Tommy",ESP,/Tennis/Players/Top-Players/Tommy-Robredo.aspx,"1,645",23
08.09.2014,23,"Dolgopolov, Alexandr",UKR,/Tennis/Players/Top-Players/Alexandr-Dolgopolov.aspx,"1,535",26
08.09.2014,24,"Kohlschreiber, Philipp",GER,/Tennis/Players/Top-Players/Philipp-Kohlschreiber.aspx,"1,505",30
08.09.2014,25,"Mayer, Leonardo",ARG,/Tennis/Players/Top-Players/Leonardo-Mayer.aspx,"1,399",22
08.09.2014,26,"Simon, Gilles",FRA,/Tennis/Players/Top-Players/Gilles-Simon.aspx,"1,360",25
08.09.2014,27,"Rosol, Lukas",CZE,/Tennis/Players/Top-Players/Lukas-Rosol.aspx,"1,290",32
08.09.2014,28,"Almagro, Nicolas",ESP,/Tennis/Players/Top-Players/Nicolas-Almagro.aspx,"1,204",22
08.09.2014,29,"Benneteau, Julien",FRA,/Tennis/Players/Top-Players/Julien-Benneteau.aspx,"1,205",25
08.09.2014,30,"Garcia-Lopez, Guillermo",ESP,/Tennis/Players/Top-Players/Guillermo-Garcia-Lopez.aspx,"1,203",27
08.09.2014,31,"Karlovic, Ivo",CRO,/Tennis/Players/Top-Players/Ivo-Karlovic.aspx,"1,195",27
08.09.2014,32,"Youzhny, Mikhail",RUS,/Tennis/Players/Top-Players/Mikhail-Youzhny.aspx,"1,190",27
08.09.2014,33,"Giraldo, Santiago",COL,/Tennis/Players/Top-Players/Santiago-Giraldo.aspx,"1,180",30
08.09.2014,34,"Verdasco, Fernando",ESP,/Tennis/Players/Top-Players/Fernando-Verdasco.aspx,"1,1350",25
08.09.2014,35,"Chardy, Jeremy",FRA,/Tennis/Players/Top-Players/Jeremy-Chardy.aspx,"1,105",27
08.09.2014,36,"Thiem, Dominic",AUT,/Tennis/Players/Th/D/Dominic-Thiem.aspx,"1,094",25
08.09.2014,37,"Lu, Yen-Hsun",TPE,/Tennis/Players/Top-Players/Yen-Hsun-Lu.aspx,"1,083",27
08.09.2014,38,"Stepanek, Radek",CZE,/Tennis/Players/Top-Players/Radek-Stepanek.aspx,"1,060",24
08.09.2014,39,"Cuevas, Pablo",URU,/Tennis/Players/Top-Players/Pablo-Cuevas.aspx,"1,059",21
08.09.2014,40,"Sousa, Joao",POR,/Tennis/Players/So/J/Joao-Sousa.aspx,"1,032",31
08.09.2014,41,"Janowicz, Jerzy",POL,/Tennis/Players/Top-Players/Jerzy-Janowicz.aspx,"1,030",23
08.09.2014,42,"Haas, Tommy",GER,/Tennis/Players/Top-Players/Tommy-Haas.aspx,"1,0250",22
08.09.2014,43,"Pospisil, Vasek",CAN,/Tennis/Players/Top-Players/Vasek-Pospisil.aspx,965,27
08.09.2014,44,"Andujar, Pablo",ESP,/Tennis/Players/Top-Players/Pablo-Andujar.aspx,926,27
08.09.2014,45,"Granollers, Marcel",ESP,/Tennis/Players/Top-Players/Marcel-Granollers.aspx,920,30
08.09.2014,46,"Goffin, David",BEL,/Tennis/Players/Top-Players/David-Goffin.aspx,908,22
08.09.2014,47,"Johnson, Steve",USA,/Tennis/Players/Jo/S/Steve-Johnson.aspx,904,29
08.09.2014,48,"Seppi, Andreas",ITA,/Tennis/Players/Top-Players/Andreas-Seppi.aspx,880,31
08.09.2014,49,"Hewitt, Lleyton",AUS,/Tennis/Players/Top-Players/Lleyton-Hewitt.aspx,880,21
08.09.2014,50,"Young, Donald",USA,/Tennis/Players/Yo/D/Donald-Young.aspx,877,26
08.09.2014,51,"Querrey, Sam",USA,/Tennis/Players/Top-Players/Sam-Querrey.aspx,865,26
08.09.2014,52,"Gabashvili, Teymuraz",RUS,/Tennis/Players/Ga/T/Teymuraz-Gabashvili.aspx,865,32
08.09.2014,53,"Kyrgios, Nick",AUS,/Tennis/Players/Ky/N/Nick-Kyrgios.aspx,860,14
08.09.2014,54,"Roger-Vasselin, Edouard",FRA,/Tennis/Players/Top-Players/Edouard-Roger-Vasselin.aspx,850,28
08.09.2014,55,"Istomin, Denis",UZB,/Tennis/Players/Top-Players/Denis-Istomin.aspx,815,27
08.09.2014,56,"Kukushkin, Mikhail",KAZ,/Tennis/Players/Top-Players/Mikhail-Kukushkin.aspx,812,28
08.09.2014,57,"Klizan, Martin",SVK,/Tennis/Players/Top-Players/Martin-Klizan.aspx,810,19
08.09.2014,58,"Nieminen, Jarkko",FIN,/Tennis/Players/Top-Players/Jarkko-Nieminen.aspx,803,29
08.09.2014,59,"Delbonis, Federico",ARG,/Tennis/Players/De/F/Federico-Delbonis.aspx,800,28
08.09.2014,60,"Becker, Benjamin",GER,/Tennis/Players/Be/B/Benjamin-Becker.aspx,778,32
08.09.2014,61,"Lajovic, Dusan",SRB,/Tennis/Players/La/D/Dusan-Lajovic.aspx,775,23
08.09.2014,62,"Golubev, Andrey",KAZ,/Tennis/Players/Go/A/Andrey-Golubev.aspx,772,30
08.09.2014,63,"Tomic, Bernard",AUS,/Tennis/Players/Top-Players/Bernard-Tomic.aspx,771,23
08.09.2014,64,"Dodig, Ivan",CRO,/Tennis/Players/Top-Players/Ivan-Dodig.aspx,770,24
08.09.2014,65,"Muller, Gilles",LUX,/Tennis/Players/Top-Players/Gilles-Muller.aspx,763,17
08.09.2014,66,"Sock, Jack",USA,/Tennis/Players/Top-Players/Jack-Sock.aspx,756,26
08.09.2014,67,"Berlocq, Carlos",ARG,/Tennis/Players/Top-Players/Carlos-Berlocq.aspx,750,25
08.09.2014,68,"Tursunov, Dmitry",RUS,/Tennis/Players/Top-Players/Dmitry-Tursunov.aspx,735,27
08.09.2014,69,"Estrella Burgos, Victor",DOM,/Tennis/Players/Es/V/Victor-Estrella-Burgos.aspx,727,28
08.09.2014,70,"Haase, Robin",NED,/Tennis/Players/Top-Players/Robin-Haase.aspx,725,30
08.09.2014,71,"Struff, Jan-Lennard",GER,/Tennis/Players/St/J/Jan-Lennard-Struff.aspx,715,29
08.09.2014,72,"Sijsling, Igor",NED,/Tennis/Players/Si/I/Igor-Sijsling.aspx,713,35
08.09.2014,73,"Falla, Alejandro",COL,/Tennis/Players/Top-Players/Alejandro-Falla.aspx,711,28
08.09.2014,74,"Carreno Busta, Pablo",ESP,/Tennis/Players/Ca/P/Pablo-Carreno-Busta.aspx,701,30
08.09.2014,75,"Ramos-Vinolas, Albert",ESP,/Tennis/Players/Top-Players/Albert-Ramos-Vinolas.aspx,693,29
08.09.2014,76,"Bolelli, Simone",ITA,/Tennis/Players/Top-Players/Simone-Bolelli.aspx,687,14
08.09.2014,77,"Vesely, Jiri",CZE,/Tennis/Players/Ve/J/Jiri-Vesely.aspx,686,26
